2018.01.19_07.32.32,-8.388217,51.9356,0,B,2,3G,-96,-12,17,15,-75,1959,244872,596,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.33,-8.388217,51.9356,0,B,2,3G,-96,-12,17,15,-75,1668,208504,274,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.34,-8.388217,51.9356,0,B,2,3G,-89,-12,14,15,-72,1865,233128,223,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.35,-8.388217,51.9356,0,B,2,3G,-89,-12,14,11,-78,2298,287280,391,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.37,-8.388217,51.9356,0,B,2,3G,-90,-12,16,12,-73,2128,265960,505,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.38,-8.388217,51.9356,0,B,2,3G,-90,-12,16,12,-73,2018,252280,653,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.39,-8.388217,51.9356,0,B,2,3G,-94,-12,17,15,-77,2025,253080,643,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.40,-8.388217,51.9356,0,B,2,3G,-94,-12,17,15,-75,1821,227656,623,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.41,-8.388217,51.9356,0,B,2,3G,-92,-11,18,10,-78,2101,262656,666,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.42,-8.388217,51.9356,0,B,2,3G,-92,-11,18,11,-74,1788,223552,722,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.43,-8.388217,51.9356,0,B,2,3G,-91,-12,18,11,-77,1762,220248,454,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.44,-8.388217,51.9356,0,B,2,3G,-91,-12,18,11,-72,1646,205768,327,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.45,-8.388217,51.9356,0,B,2,3G,-88,-10,19,15,-,1751,218880,448,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.46,-8.388217,51.9356,0,B,2,3G,-88,-10,19,14,-70,1559,194824,622,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.48,-8.388217,51.9356,0,B,2,3G,-85,-12,20,13,-68,1922,240308,829,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.49,-8.388217,51.9356,0,B,2,3G,-85,-12,20,15,-66,1737,217172,1046,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.50,-8.388217,51.9356,0,B,2,3G,-87,-12,21,12,-70,1734,216712,958,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.51,-8.388217,51.9356,0,B,2,3G,-87,-12,21,12,-72,1806,225720,956,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.52,-8.388217,51.9356,0,B,2,3G,-89,-11,22,15,-77,1821,227653,904,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.53,-8.388217,51.9356,0,B,2,3G,-89,-11,22,15,-74,2222,277704,574,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.54,-8.388217,51.9356,0,B,2,3G,-91,-12,21,15,-74,2051,256387,359,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.55,-8.388217,51.9356,0,B,2,3G,-91,-12,21,15,-74,2062,257752,624,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.56,-8.388217,51.9356,0,B,2,3G,-87,-11,22,15,-70,2189,273600,831,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.57,-8.388217,51.9356,0,B,2,3G,-87,-11,22,15,-72,1777,222184,849,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.32.59,-8.388217,51.9356,0,B,2,3G,-91,-12,22,14,-74,2101,262656,826,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.00,-8.388217,51.9356,0,B,2,3G,-91,-12,22,14,-74,2062,257752,879,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.01,-8.388217,51.9356,0,B,2,3G,-91,-11,22,14,-74,2073,259120,971,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.02,-8.388217,51.9356,0,B,2,3G,-91,-11,22,14,-74,2587,323417,802,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.03,-8.388217,51.9356,0,B,2,3G,-94,-12,21,14,-77,2692,336528,803,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.04,-8.388217,51.9356,0,B,2,3G,-94,-12,21,15,-74,2347,293320,483,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.05,-8.388217,51.9356,0,B,2,3G,-92,-12,20,14,-71,2489,311104,558,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.06,-8.388217,51.9356,0,B,2,3G,-92,-12,20,13,-78,2741,342568,733,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.07,-8.388217,51.9356,0,B,2,3G,-96,-12,19,12,-,2850,356248,539,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.08,-8.388217,51.9356,0,B,2,3G,-96,-12,19,12,-80,2692,336528,692,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.09,-8.388217,51.9356,0,B,2,3G,-97,-9,17,12,-80,2423,302896,429,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.11,-8.388217,51.9356,0,B,2,3G,-97,-9,17,12,-80,2434,304264,511,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.12,-8.388217,51.9356,0,B,2,3G,-97,-12,16,12,-80,2784,348040,584,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.13,-8.388217,51.9356,0,B,2,3G,-97,-12,16,12,-80,2539,317376,633,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.14,-8.388217,51.9356,0,B,2,3G,-93,-11,16,7,-76,2358,294688,518,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.15,-8.388217,51.9356,0,B,2,3G,-93,-11,16,11,-82,2204,275536,358,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.16,-8.388217,51.9356,0,B,2,3G,-99,-12,16,11,-85,2226,278272,355,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.17,-8.388217,51.9356,0,B,2,3G,-99,-12,16,11,-82,2298,287280,331,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.18,-8.388217,51.9356,0,B,2,3G,-99,-12,14,11,-82,1537,192088,419,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.19,-8.388217,51.9356,0,B,2,3G,-99,-12,14,10,-85,2145,268128,354,D,-,-,-8.378733,51.930323,875.85
2018.01.19_07.33.21,-8.388217,51.9356,0,B,2,3G,-105,-12,11,10,-88,2237,279640,491,D,-111,-19,-8.378733,51.930323,875.85
